Pressure,Temperature,CO2,mNaCl
405.3,40,0.02728624491,0
506.625,40,0.02869994792,0
50.6625,40,0.0162,0
75.99375,40,0.0205,0
101.325,40,0.022,0
126.65625,40,0.0227,0
151.9875,40,0.0232,0
202.65,40,0.0243,0
405.3,40,0.0275,0
506.625,40,0.0289,0
50.6625,50,0.0138,0
75.99375,50,0.0179,0
101.325,50,0.0203,0
126.65625,50,0.0212,0
151.9875,50,0.0219,0
202.65,50,0.023,0
303.975,50,0.0247,0
405.3,50,0.0262,0
709.275,50,0.0301,0
4.65,45.08,0.00182,0
10.45,45.08,0.00394,0
18.63,45.08,0.0068,0
19.84,45.08,0.0073,0
29.7,45.08,0.01036,0
30.01,45.08,0.01018,0
39.69,45.08,0.01293,0
39.77,45.08,0.01259,0
49.52,45.08,0.01508,0
49.82,45.08,0.01532,0
59.78,45.08,0.0172,0
59.92,45.08,0.01726,0
69.23,45.08,0.01895,0
69.84,45.08,0.01905,0
79.33,45.08,0.02031,0
5.79,35.05,0.00276,0
18.89,35.05,0.00856,0
29.5,35.05,0.01212,0
30.29,35.05,0.01259,0
40.05,35.05,0.01563,0
49.85,35.05,0.01837,0
59.49,35.05,0.02033,0
60.77,35.05,0.02066,0
69.72,35.05,0.02229,0
69.86,35.05,0.02152,0
70.29,35.05,0.0221,0
79.63,35.05,0.02304,0
5.04,25.13,0.00314,0
10.07,25.13,0.00614,0
14.96,25.13,0.00887,0
24.83,25.13,0.01356,0
34.91,25.13,0.01772,0
44.92,25.13,0.02089,0
55.24,25.13,0.02323,0
4.96,15.11,0.00401,0
11.03,15.11,0.00867,0
19.41,15.11,0.01434,0
27.77,15.11,0.01882,0
37.19,15.11,0.02343,0
46.01,15.11,0.02673,0
50.59,15.11,0.02797,0
5.01,5.07,0.00585,0
7.55,5.07,0.00852,0
10.16,5.07,0.01111,0
13.22,5.07,0.01403,0
16.74,5.07,0.01747,0
20.31,5.07,0.02015,0
